ID,Date,Location,Site,Observer,Depth (m),Visibility (m),Replicate,Interval,Genus,Species,Scientific Name,Count,Size Est (cm)
42,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,1.0,6.0
43,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,3.0,7.0
44,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Halichoeres,melanurus,Halichoeres melanurus,1.0,5.0
45,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Acanthochromis,polyacanthus,Acanthochromis polyacanthus,1.0,10.0
46,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,2.0,5.0
47,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,1.0,7.0
48,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,6.0,6.0
49,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,coelestis,Pomacentrus coelestis,3.0,3.0
50,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,coelestis,Pomacentrus coelestis,2.0,2.0
51,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Stethojulis,strigiventer,Stethojulis strigiventer,1.0,13.0
52,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Zanclus,cornutus,Zanclus cornutus,1.0,11.0
53,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,2.0,6.0
54,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,1.0,7.0
55,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,1.0,7.0
56,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,1.0,8.0
57,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
58,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2.0,9.0
59,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2.0,7.0
60,META-26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Stegastes,fasciolatus,Stegastes fasciolatus,2.0,8.0
61,META-nan,,,,,,,,,,,,
62,META-nan,,,,,,,,,,,,
63,META-nan,,,,,,,,,,,,
64,META-nan,,,,,,,,,,,,
65,META-nan,,,,,,,,,,,,
66,META-nan,,,,,,,,,,,,
67,META-nan,,,,,,,,,,,,
68,META-nan,,,,,,,,,,,,
69,META-nan,,,,,,,,,,,,
70,META-nan,,,,,,,,,,,,
71,META-nan,,,,,,,,,,,,
72,META-nan,,,,,,,,,,,,
73,META-nan,,,,,,,,,,,,
74,META-nan,,,,,,,,,,,,
75,META-nan,,,,,,,,,,,,
76,META-nan,,,,,,,,,,,,
77,META-nan,,,,,,,,,,,,
78,META-nan,,,,,,,,,,,,
79,META-nan,,,,,,,,,,,,
80,META-nan,,,,,,,,,,,,
81,META-nan,,,,,,,,,,,,
82,META-nan,,,,,,,,,,,,
83,META-nan,,,,,,,,,,,,
84,META-nan,,,,,,,,,,,,
85,META-nan,,,,,,,,,,,,
86,META-nan,,,,,,,,,,,,
87,META-nan,,,,,,,,,,,,
88,META-nan,,,,,,,,,,,,
89,META-nan,,,,,,,,,,,,
90,META-nan,,,,,,,,,,,,
91,META-nan,,,,,,,,,,,,
92,META-nan,,,,,,,,,,,,
93,META-nan,,,,,,,,,,,,
94,META-nan,,,,,,,,,,,,
95,META-nan,,,,,,,,,,,,
96,META-nan,,,,,,,,,,,,
97,META-nan,,,,,,,,,,,,
98,META-nan,,,,,,,,,,,,
99,META-nan,,,,,,,,,,,,
100,META-nan,,,,,,,,,,,,
101,META-nan,,,,,,,,,,,,
102,META-nan,,,,,,,,,,,,
103,META-nan,,,,,,,,,,,,
104,META-nan,,,,,,,,,,,,
105,META-nan,,,,,,,,,,,,
106,META-nan,,,,,,,,,,,,
107,META-nan,,,,,,,,,,,,
108,META-nan,,,,,,,,,,,,
109,META-nan,,,,,,,,,,,,
110,META-nan,,,,,,,,,,,,
111,META-nan,,,,,,,,,,,,
112,META-nan,,,,,,,,,,,,
113,META-nan,,,,,,,,,,,,
114,META-nan,,,,,,,,,,,,
115,META-nan,,,,,,,,,,,,
116,META-nan,,,,,,,,,,,,
117,META-nan,,,,,,,,,,,,
118,META-nan,,,,,,,,,,,,
119,META-nan,,,,,,,,,,,,
120,META-nan,,,,,,,,,,,,
121,META-nan,,,,,,,,,,,,
122,META-nan,,,,,,,,,,,,
123,META-nan,,,,,,,,,,,,
124,META-nan,,,,,,,,,,,,
125,META-nan,,,,,,,,,,,,
126,META-nan,,,,,,,,,,,,
127,META-nan,,,,,,,,,,,,
128,META-nan,,,,,,,,,,,,
129,META-nan,,,,,,,,,,,,
130,META-nan,,,,,,,,,,,,
131,META-nan,,,,,,,,,,,,
132,META-nan,,,,,,,,,,,,
133,META-nan,,,,,,,,,,,,
134,META-nan,,,,,,,,,,,,
135,META-nan,,,,,,,,,,,,
136,META-nan,,,,,,,,,,,,
137,META-nan,,,,,,,,,,,,
138,META-nan,,,,,,,,,,,,
139,META-nan,,,,,,,,,,,,
140,META-nan,,,,,,,,,,,,
141,META-nan,,,,,,,,,,,,
142,META-nan,,,,,,,,,,,,
143,META-nan,,,,,,,,,,,,
144,META-nan,,,,,,,,,,,,
145,META-nan,,,,,,,,,,,,
146,META-nan,,,,,,,,,,,,
147,META-nan,,,,,,,,,,,,
148,META-nan,,,,,,,,,,,,
149,META-nan,,,,,,,,,,,,
150,META-nan,,,,,,,,,,,,
151,META-nan,,,,,,,,,,,,
152,META-nan,,,,,,,,,,,,
153,META-nan,,,,,,,,,,,,
154,META-nan,,,,,,,,,,,,
155,META-nan,,,,,,,,,,,,
156,META-nan,,,,,,,,,,,,
157,META-nan,,,,,,,,,,,,
158,META-nan,,,,,,,,,,,,
159,META-nan,,,,,,,,,,,,
160,META-nan,,,,,,,,,,,,
161,META-nan,,,,,,,,,,,,
162,META-nan,,,,,,,,,,,,
163,META-nan,,,,,,,,,,,,
164,META-nan,,,,,,,,,,,,
165,META-nan,,,,,,,,,,,,
166,META-nan,,,,,,,,,,,,
167,META-nan,,,,,,,,,,,,
168,META-nan,,,,,,,,,,,,
169,META-nan,,,,,,,,,,,,
170,META-nan,,,,,,,,,,,,
171,META-nan,,,,,,,,,,,,
172,META-nan,,,,,,,,,,,,
173,META-nan,,,,,,,,,,,,
174,META-nan,,,,,,,,,,,,
175,META-nan,,,,,,,,,,,,
176,META-nan,,,,,,,,,,,,
177,META-nan,,,,,,,,,,,,
178,META-nan,,,,,,,,,,,,
179,META-nan,,,,,,,,,,,,
180,META-nan,,,,,,,,,,,,
181,META-nan,,,,,,,,,,,,
182,META-nan,,,,,,,,,,,,
183,META-nan,,,,,,,,,,,,
184,META-nan,,,,,,,,,,,,
185,META-nan,,,,,,,,,,,,
186,META-nan,,,,,,,,,,,,
187,META-nan,,,,,,,,,,,,
188,META-nan,,,,,,,,,,,,
189,META-nan,,,,,,,,,,,,
190,META-nan,,,,,,,,,,,,
191,META-nan,,,,,,,,,,,,
192,META-nan,,,,,,,,,,,,
193,META-nan,,,,,,,,,,,,
194,META-nan,,,,,,,,,,,,
195,META-nan,,,,,,,,,,,,
196,META-nan,,,,,,,,,,,,
197,META-nan,,,,,,,,,,,,
198,META-nan,,,,,,,,,,,,
199,META-nan,,,,,,,,,,,,
200,META-nan,,,,,,,,,,,,
201,META-nan,,,,,,,,,,,,
202,META-nan,,,,,,,,,,,,
203,META-nan,,,,,,,,,,,,
204,META-nan,,,,,,,,,,,,
205,META-nan,,,,,,,,,,,,
206,META-nan,,,,,,,,,,,,
207,META-nan,,,,,,,,,,,,
208,META-nan,,,,,,,,,,,,
209,META-nan,,,,,,,,,,,,
210,META-nan,,,,,,,,,,,,
211,META-nan,,,,,,,,,,,,
212,META-nan,,,,,,,,,,,,
213,META-nan,,,,,,,,,,,,
214,META-nan,,,,,,,,,,,,
215,META-nan,,,,,,,,,,,,
216,META-nan,,,,,,,,,,,,
217,META-nan,,,,,,,,,,,,
218,META-nan,,,,,,,,,,,,
219,META-nan,,,,,,,,,,,,
220,META-nan,,,,,,,,,,,,
221,META-nan,,,,,,,,,,,,
222,META-nan,,,,,,,,,,,,
223,META-nan,,,,,,,,,,,,
224,META-nan,,,,,,,,,,,,
225,META-nan,,,,,,,,,,,,
226,META-nan,,,,,,,,,,,,
227,META-nan,,,,,,,,,,,,
228,META-nan,,,,,,,,,,,,
229,META-nan,,,,,,,,,,,,
230,META-nan,,,,,,,,,,,,
231,META-nan,,,,,,,,,,,,
232,META-nan,,,,,,,,,,,,
233,META-nan,,,,,,,,,,,,
234,META-nan,,,,,,,,,,,,
235,META-nan,,,,,,,,,,,,
236,META-nan,,,,,,,,,,,,
237,META-nan,,,,,,,,,,,,
238,META-nan,,,,,,,,,,,,
239,META-nan,,,,,,,,,,,,
240,META-nan,,,,,,,,,,,,
241,META-nan,,,,,,,,,,,,
242,META-nan,,,,,,,,,,,,
243,META-nan,,,,,,,,,,,,
244,META-nan,,,,,,,,,,,,
245,META-nan,,,,,,,,,,,,
246,META-nan,,,,,,,,,,,,
247,META-nan,,,,,,,,,,,,
248,META-nan,,,,,,,,,,,,
249,META-nan,,,,,,,,,,,,
250,META-nan,,,,,,,,,,,,
251,META-nan,,,,,,,,,,,,
252,META-nan,,,,,,,,,,,,
253,META-nan,,,,,,,,,,,,
254,META-nan,,,,,,,,,,,,
255,META-nan,,,,,,,,,,,,
256,META-nan,,,,,,,,,,,,
257,META-nan,,,,,,,,,,,,
258,META-nan,,,,,,,,,,,,
259,META-nan,,,,,,,,,,,,
260,META-nan,,,,,,,,,,,,
261,META-nan,,,,,,,,,,,,
262,META-nan,,,,,,,,,,,,
263,META-nan,,,,,,,,,,,,
264,META-nan,,,,,,,,,,,,
265,META-nan,,,,,,,,,,,,
266,META-nan,,,,,,,,,,,,
267,META-nan,,,,,,,,,,,,
268,META-nan,,,,,,,,,,,,
269,META-nan,,,,,,,,,,,,
270,META-nan,,,,,,,,,,,,
271,META-nan,,,,,,,,,,,,
272,META-nan,,,,,,,,,,,,
273,META-nan,,,,,,,,,,,,
274,META-nan,,,,,,,,,,,,
275,META-nan,,,,,,,,,,,,
276,META-nan,,,,,,,,,,,,
277,META-nan,,,,,,,,,,,,
278,META-nan,,,,,,,,,,,,
279,META-nan,,,,,,,,,,,,
280,META-nan,,,,,,,,,,,,
281,META-nan,,,,,,,,,,,,
282,META-nan,,,,,,,,,,,,
283,META-nan,,,,,,,,,,,,
284,META-nan,,,,,,,,,,,,
285,META-nan,,,,,,,,,,,,
286,META-nan,,,,,,,,,,,,
287,META-nan,,,,,,,,,,,,
288,META-nan,,,,,,,,,,,,
289,META-nan,,,,,,,,,,,,
290,META-nan,,,,,,,,,,,,
291,META-nan,,,,,,,,,,,,
292,META-nan,,,,,,,,,,,,
293,META-nan,,,,,,,,,,,,
294,META-nan,,,,,,,,,,,,
295,META-nan,,,,,,,,,,,,
296,META-nan,,,,,,,,,,,,
297,META-nan,,,,,,,,,,,,
298,META-nan,,,,,,,,,,,,
299,META-nan,,,,,,,,,,,,
300,META-nan,,,,,,,,,,,,
301,META-nan,,,,,,,,,,,,
302,META-nan,,,,,,,,,,,,
303,META-nan,,,,,,,,,,,,
304,META-nan,,,,,,,,,,,,
305,META-nan,,,,,,,,,,,,
306,META-nan,,,,,,,,,,,,
307,META-nan,,,,,,,,,,,,
308,META-nan,,,,,,,,,,,,
309,META-nan,,,,,,,,,,,,
310,META-nan,,,,,,,,,,,,
311,META-nan,,,,,,,,,,,,
312,META-nan,,,,,,,,,,,,
313,META-nan,,,,,,,,,,,,
314,META-nan,,,,,,,,,,,,
315,META-nan,,,,,,,,,,,,
316,META-nan,,,,,,,,,,,,
317,META-nan,,,,,,,,,,,,
318,META-nan,,,,,,,,,,,,
319,META-nan,,,,,,,,,,,,
320,META-nan,,,,,,,,,,,,
321,META-nan,,,,,,,,,,,,
322,META-nan,,,,,,,,,,,,
323,META-nan,,,,,,,,,,,,
324,META-nan,,,,,,,,,,,,
325,META-nan,,,,,,,,,,,,
326,META-nan,,,,,,,,,,,,
327,META-nan,,,,,,,,,,,,
328,META-nan,,,,,,,,,,,,
329,META-nan,,,,,,,,,,,,
330,META-nan,,,,,,,,,,,,
331,META-nan,,,,,,,,,,,,
332,META-nan,,,,,,,,,,,,
333,META-nan,,,,,,,,,,,,
334,META-nan,,,,,,,,,,,,
335,META-nan,,,,,,,,,,,,
336,META-nan,,,,,,,,,,,,
337,META-nan,,,,,,,,,,,,
338,META-nan,,,,,,,,,,,,
339,META-nan,,,,,,,,,,,,
340,META-nan,,,,,,,,,,,,
341,META-nan,,,,,,,,,,,,
342,META-nan,,,,,,,,,,,,
343,META-nan,,,,,,,,,,,,
344,META-nan,,,,,,,,,,,,
345,META-nan,,,,,,,,,,,,
346,META-nan,,,,,,,,,,,,
347,META-nan,,,,,,,,,,,,
348,META-nan,,,,,,,,,,,,
349,META-nan,,,,,,,,,,,,
350,META-nan,,,,,,,,,,,,
351,META-nan,,,,,,,,,,,,
352,META-nan,,,,,,,,,,,,
353,META-nan,,,,,,,,,,,,
354,META-nan,,,,,,,,,,,,
355,META-nan,,,,,,,,,,,,
356,META-nan,,,,,,,,,,,,
357,META-nan,,,,,,,,,,,,
358,META-nan,,,,,,,,,,,,
359,META-nan,,,,,,,,,,,,
360,META-nan,,,,,,,,,,,,
361,META-nan,,,,,,,,,,,,
362,META-nan,,,,,,,,,,,,
363,META-nan,,,,,,,,,,,,
364,META-nan,,,,,,,,,,,,
365,META-nan,,,,,,,,,,,,
366,META-nan,,,,,,,,,,,,
367,META-nan,,,,,,,,,,,,
368,META-nan,,,,,,,,,,,,
369,META-nan,,,,,,,,,,,,
370,META-nan,,,,,,,,,,,,
371,META-nan,,,,,,,,,,,,
372,META-nan,,,,,,,,,,,,
373,META-nan,,,,,,,,,,,,
374,META-nan,,,,,,,,,,,,
375,META-nan,,,,,,,,,,,,
376,META-nan,,,,,,,,,,,,
377,META-nan,,,,,,,,,,,,
378,META-nan,,,,,,,,,,,,
379,META-nan,,,,,,,,,,,,
380,META-nan,,,,,,,,,,,,
381,META-nan,,,,,,,,,,,,
382,META-nan,,,,,,,,,,,,
383,META-nan,,,,,,,,,,,,
384,META-nan,,,,,,,,,,,,
385,META-nan,,,,,,,,,,,,
386,META-nan,,,,,,,,,,,,
387,META-nan,,,,,,,,,,,,
388,META-nan,,,,,,,,,,,,
389,META-nan,,,,,,,,,,,,
390,META-nan,,,,,,,,,,,,
391,META-nan,,,,,,,,,,,,
392,META-nan,,,,,,,,,,,,
393,META-nan,,,,,,,,,,,,
394,META-nan,,,,,,,,,,,,
395,META-nan,,,,,,,,,,,,
396,META-nan,,,,,,,,,,,,
397,META-nan,,,,,,,,,,,,
398,META-nan,,,,,,,,,,,,
399,META-nan,,,,,,,,,,,,
400,META-nan,,,,,,,,,,,,
401,META-nan,,,,,,,,,,,,
402,META-nan,,,,,,,,,,,,
403,META-nan,,,,,,,,,,,,
404,META-nan,,,,,,,,,,,,
405,META-nan,,,,,,,,,,,,
406,META-nan,,,,,,,,,,,,
407,META-nan,,,,,,,,,,,,
408,META-nan,,,,,,,,,,,,
409,META-nan,,,,,,,,,,,,
410,META-nan,,,,,,,,,,,,
411,META-nan,,,,,,,,,,,,
412,META-nan,,,,,,,,,,,,
413,META-nan,,,,,,,,,,,,
414,META-nan,,,,,,,,,,,,
415,META-nan,,,,,,,,,,,,
416,META-nan,,,,,,,,,,,,
417,META-nan,,,,,,,,,,,,
418,META-nan,,,,,,,,,,,,
419,META-nan,,,,,,,,,,,,
420,META-nan,,,,,,,,,,,,
421,META-nan,,,,,,,,,,,,
422,META-nan,,,,,,,,,,,,
423,META-nan,,,,,,,,,,,,
424,META-nan,,,,,,,,,,,,
425,META-nan,,,,,,,,,,,,
426,META-nan,,,,,,,,,,,,
427,META-nan,,,,,,,,,,,,
428,META-nan,,,,,,,,,,,,
429,META-nan,,,,,,,,,,,,
430,META-nan,,,,,,,,,,,,
431,META-nan,,,,,,,,,,,,
432,META-nan,,,,,,,,,,,,
433,META-nan,,,,,,,,,,,,
434,META-nan,,,,,,,,,,,,
435,META-nan,,,,,,,,,,,,
436,META-nan,,,,,,,,,,,,
437,META-nan,,,,,,,,,,,,
438,META-nan,,,,,,,,,,,,
439,META-nan,,,,,,,,,,,,
440,META-nan,,,,,,,,,,,,
441,META-nan,,,,,,,,,,,,
442,META-nan,,,,,,,,,,,,
443,META-nan,,,,,,,,,,,,
444,META-nan,,,,,,,,,,,,
445,META-nan,,,,,,,,,,,,
446,META-nan,,,,,,,,,,,,
447,META-nan,,,,,,,,,,,,
448,META-nan,,,,,,,,,,,,
449,META-nan,,,,,,,,,,,,
450,META-nan,,,,,,,,,,,,
451,META-nan,,,,,,,,,,,,
452,META-nan,,,,,,,,,,,,
453,META-nan,,,,,,,,,,,,
454,META-nan,,,,,,,,,,,,
455,META-nan,,,,,,,,,,,,
456,META-nan,,,,,,,,,,,,
457,META-nan,,,,,,,,,,,,
458,META-nan,,,,,,,,,,,,
459,META-nan,,,,,,,,,,,,
460,META-nan,,,,,,,,,,,,
461,META-nan,,,,,,,,,,,,
462,META-nan,,,,,,,,,,,,
463,META-nan,,,,,,,,,,,,
464,META-nan,,,,,,,,,,,,
465,META-nan,,,,,,,,,,,,
466,META-nan,,,,,,,,,,,,
467,META-nan,,,,,,,,,,,,
468,META-nan,,,,,,,,,,,,
469,META-nan,,,,,,,,,,,,
470,META-nan,,,,,,,,,,,,
471,META-nan,,,,,,,,,,,,
472,META-nan,,,,,,,,,,,,
473,META-nan,,,,,,,,,,,,
474,META-nan,,,,,,,,,,,,
475,META-nan,,,,,,,,,,,,
476,META-nan,,,,,,,,,,,,
477,META-nan,,,,,,,,,,,,
478,META-nan,,,,,,,,,,,,
479,META-nan,,,,,,,,,,,,
480,META-nan,,,,,,,,,,,,
481,META-nan,,,,,,,,,,,,
482,META-nan,,,,,,,,,,,,
483,META-nan,,,,,,,,,,,,
484,META-nan,,,,,,,,,,,,
485,META-nan,,,,,,,,,,,,
486,META-nan,,,,,,,,,,,,
487,META-nan,,,,,,,,,,,,
488,META-nan,,,,,,,,,,,,
489,META-nan,,,,,,,,,,,,
490,META-nan,,,,,,,,,,,,
491,META-nan,,,,,,,,,,,,
492,META-nan,,,,,,,,,,,,
493,META-nan,,,,,,,,,,,,
494,META-nan,,,,,,,,,,,,
495,META-nan,,,,,,,,,,,,
496,META-nan,,,,,,,,,,,,
497,META-nan,,,,,,,,,,,,
498,META-nan,,,,,,,,,,,,
499,META-nan,,,,,,,,,,,,
500,META-nan,,,,,,,,,,,,
501,META-nan,,,,,,,,,,,,
502,META-nan,,,,,,,,,,,,
503,META-nan,,,,,,,,,,,,
504,META-nan,,,,,,,,,,,,
505,META-nan,,,,,,,,,,,,
506,META-nan,,,,,,,,,,,,
507,META-nan,,,,,,,,,,,,
